sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00664	GenomeGuard	62.27	476.7	20	22
HG00671	GenomeGuard	64.318	475.4	20	22
HG00672	GenomeGuard	61.211	476.0	20	22
HG00673	GenomeGuard	59.034	477.1	20	22
HG00674	GenomeGuard	65.654	476.2	20	22
HG00675	GenomeGuard	61.866	477.3	20	22
HG00683	GenomeGuard	66.288	477.0	20	22
HG00684	GenomeGuard	56.717	476.5	20	22
HG00685	GenomeGuard	64.389	476.3	20	22
HG00689	GenomeGuard	46.973	476.0	20	22
HG00690	GenomeGuard	64.757	477.2	20	22
HG00691	GenomeGuard	67.26	477.8	20	22
HG00692	GenomeGuard	63.175	477.5	20	22
HG00693	GenomeGuard	61.446	476.2	20	22
HG00694	GenomeGuard	60.483	476.5	20	22
HG00698	GenomeGuard	59.371	477.2	20	22
HG00699	GenomeGuard	63.876	476.7	20	22
HG00700	GenomeGuard	72.296	476.1	20	22
HG00701	GenomeGuard	53.864	476.6	20	22
HG00702	GenomeGuard	55.836	476.4	20	22
HG00703	GenomeGuard	53.231	477.8	20	22
HG00704	GenomeGuard	48.752	476.1	20	22
HG00705	GenomeGuard	61.725	475.8	20	22
HG00706	GenomeGuard	65.48	476.4	20	22
HG00707	GenomeGuard	66.541	476.5	20	22
HG00708	GenomeGuard	68.167	476.4	20	22
HG00709	GenomeGuard	76.165	477.1	20	22
HG00717	GenomeGuard	46.106	476.4	20	22
HG00728	GenomeGuard	46.745	476.4	20	22
HG00729	GenomeGuard	43.366	476.2	20	22
HG00731	GenomeGuard	48.346	477.0	20	22
HG00732	GenomeGuard	50.248	476.2	20	22
HG00733	GenomeGuard	58.099	475.6	20	22
HG00734	GenomeGuard	61.765	476.9	20	22
HG00735	GenomeGuard	61.371	476.5	20	22
HG00736	GenomeGuard	54.882	475.6	20	22
HG00737	GenomeGuard	79.634	476.1	20	22
HG00738	GenomeGuard	67.062	475.7	20	22
HG00739	GenomeGuard	63.315	477.1	20	22
HG00740	GenomeGuard	58.321	477.1	20	22
HG00741	GenomeGuard	48.464	476.5	20	22
HG00742	GenomeGuard	46.848	476.4	20	22
HG00743	GenomeGuard	58.526	475.5	20	22
HG00759	GenomeGuard	67.389	475.7	20	22
HG00766	GenomeGuard	79.126	476.0	20	22
HG00844	GenomeGuard	70.718	476.2	20	22
HG00851	GenomeGuard	74.354	477.5	20	22
HG00864	GenomeGuard	71.303	477.2	20	22
HG00867	GenomeGuard	67.851	476.7	20	22
HG00879	GenomeGuard	58.027	476.8	20	22
HG00881	GenomeGuard	58.755	476.8	20	22
HG00956	GenomeGuard	77.427	476.5	20	22
HG00978	GenomeGuard	59.464	475.6	20	22
HG00982	GenomeGuard	50.59	476.2	20	22
HG01028	GenomeGuard	67.286	476.7	20	22
HG01029	GenomeGuard	56.938	476.9	20	22
HG01031	GenomeGuard	157.182	476.8	20	22
HG01046	GenomeGuard	52.871	477.8	20	22
HG01047	GenomeGuard	54.204	476.1	20	22
HG01048	GenomeGuard	58.062	477.0	20	22
HG01049	GenomeGuard	69.762	476.2	20	22
HG01050	GenomeGuard	62.998	477.0	20	22
HG01051	GenomeGuard	55.348	476.2	20	22
HG01052	GenomeGuard	60.139	476.6	20	22
HG01053	GenomeGuard	56.09	476.0	20	22
HG01054	GenomeGuard	54.507	476.7	20	22
HG01055	GenomeGuard	63.849	477.3	20	22
HG01056	GenomeGuard	54.809	475.5	20	22
HG01058	GenomeGuard	50.035	475.8	20	22
HG01060	GenomeGuard	86.296	476.9	20	22
HG01061	GenomeGuard	58.257	476.7	20	22
HG01062	GenomeGuard	50.584	476.0	20	22
HG01063	GenomeGuard	53.291	476.6	20	22
HG01064	GenomeGuard	55.991	476.8	20	22
HG01066	GenomeGuard	51.439	476.3	20	22
HG01067	GenomeGuard	47.221	475.7	20	22
HG01068	GenomeGuard	55.192	476.5	20	22
HG01069	GenomeGuard	76.526	476.3	20	22
HG01070	GenomeGuard	68.469	476.9	20	22
HG01071	GenomeGuard	60.849	476.5	20	22
HG01072	GenomeGuard	69.333	475.7	20	22
HG01073	GenomeGuard	79.127	476.7	20	22
HG01074	GenomeGuard	81.905	476.0	20	22
HG01075	GenomeGuard	65.105	476.6	20	22
HG01077	GenomeGuard	53.926	476.9	20	22
HG01079	GenomeGuard	79.358	476.7	20	22
HG01080	GenomeGuard	74.034	475.9	20	22
HG01081	GenomeGuard	60.861	476.4	20	22
HG01082	GenomeGuard	45.417	476.4	20	22
HG01083	GenomeGuard	82.562	476.6	20	22
HG01084	GenomeGuard	129.174	478.4	20	22
HG01085	GenomeGuard	141.406	476.0	20	22
HG01086	GenomeGuard	99.496	477.0	20	22
HG01087	GenomeGuard	52.973	476.1	20	22
HG01088	GenomeGuard	51.488	476.7	20	22
HG01089	GenomeGuard	49.58	475.6	20	22
HG01092	GenomeGuard	48.254	476.2	20	22
HG01094	GenomeGuard	48.939	475.4	20	22
HG01095	GenomeGuard	52.625	476.2	20	22
HG01096	GenomeGuard	56.076	476.3	20	22
HG01097	GenomeGuard	59.666	477.3	20	22
HG01098	GenomeGuard	59.463	476.5	20	22
HG01099	GenomeGuard	60.414	477.8	20	22
HG01100	GenomeGuard	68.751	475.4	20	22
HG01101	GenomeGuard	55.327	476.0	20	22
HG01102	GenomeGuard	58.867	475.7	20	22
HG01103	GenomeGuard	63.378	477.2	20	22
HG01104	GenomeGuard	65.219	475.6	20	22
HG01105	GenomeGuard	74.789	476.2	20	22
HG01106	GenomeGuard	56.946	475.5	20	22
HG01107	GenomeGuard	51.237	476.0	20	22
HG01108	GenomeGuard	55.983	475.6	20	22
HG01109	GenomeGuard	61.285	476.6	20	22
HG01110	GenomeGuard	57.029	477.1	20	22
HG01111	GenomeGuard	62.312	476.4	20	22
HG01112	GenomeGuard	66.097	477.9	20	22
HG01113	GenomeGuard	73.948	475.4	20	22
HG01114	GenomeGuard	61.258	476.7	20	22
HG01119	GenomeGuard	69.217	476.7	20	22
HG01121	GenomeGuard	73.987	477.0	20	22
