sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG01162	Aldy	0.7	0	0	0
HG01164	Aldy	1.6	0	0	0
HG01167	Aldy	0.7	0	0	0
HG01168	Aldy	0.7	0	0	0
HG01169	Aldy	0.8	0	0	0
HG01170	Aldy	1.0	0	0	0
HG01171	Aldy	1.7	0	0	0
HG01172	Aldy	0.9	0	0	0
HG01173	Aldy	10.9	0	11	0
HG01174	Aldy	12.7	0	0	0
HG01175	Aldy	10.2	0	0	0
HG01176	Aldy	10.1	0	0	0
HG01177	Aldy	11.5	0	0	0
HG01178	Aldy	10.5	0	0	0
HG01182	Aldy	9.5	0	0	0
HG01183	Aldy	9.2	0	2	0
HG01184	Aldy	10.6	0	1	0
HG01187	Aldy	9.8	0	1	0
HG01188	Aldy	9.9	0	1	0
HG01189	Aldy	10.0	0	2	0
HG01190	Aldy	11.9	0	2	0
HG01191	Aldy	10.2	0	2	0
HG01192	Aldy	12.7	0	2	0
HG01197	Aldy	11.0	0	2	0
HG01198	Aldy	13.6	0	1	0
HG01199	Aldy	6.4	0	1	0
HG01200	Aldy	8.6	0	2	0
HG01204	Aldy	11.1	0	1	0
HG01205	Aldy	13.0	0	3	0
HG01206	Aldy	10.8	0	2	0
HG01241	Aldy	12.1	0	0	0
HG01242	Aldy	11.9	0	2	0
HG01243	Aldy	15.0	0	2	0
HG01247	Aldy	12.6	0	0	0
HG01248	Aldy	13.0	0	0	0
HG01249	Aldy	19.6	0	0	0
HG01250	Aldy	9.9	0	0	0
HG01251	Aldy	8.5	0	0	0
HG01252	Aldy	10.0	0	0	0
HG01253	Aldy	13.1	0	0	0
HG01254	Aldy	13.3	0	0	0
HG01255	Aldy	9.2	0	1	0
HG01256	Aldy	9.9	0	1	0
HG01257	Aldy	12.4	0	5	0
HG01258	Aldy	11.3	0	2	0
HG01259	Aldy	10.4	0	2	0
HG01260	Aldy	10.0	0	1	0
HG01261	Aldy	10.6	0	2	0
HG01269	Aldy	10.2	0	2	0
HG01271	Aldy	8.5	0	1	0
HG01272	Aldy	10.3	0	2	0
HG01273	Aldy	9.3	0	0	0
HG01274	Aldy	10.2	0	4	0
HG01275	Aldy	9.8	0	2	0
HG01276	Aldy	13.3	0	1	0
HG01277	Aldy	12.6	0	3	0
HG01278	Aldy	9.5	0	1	0
HG01279	Aldy	8.2	0	2	0
HG01280	Aldy	10.0	0	0	0
HG01281	Aldy	10.8	0	4	0
HG01284	Aldy	12.4	0	4	0
HG01286	Aldy	8.4	0	2	0
HG01302	Aldy	8.4	0	1	0
HG01303	Aldy	9.2	0	2	0
