sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG01463	PharmCAT	0.3	0	21	0
HG01464	PharmCAT	0.3	0	21	0
HG01465	PharmCAT	0.3	0	21	0
HG01466	PharmCAT	0.3	0	21	0
HG01468	PharmCAT	0.3	0	21	0
HG01474	PharmCAT	0.3	0	21	0
HG01479	PharmCAT	0.3	0	21	0
HG01485	PharmCAT	0.3	0	21	0
HG01486	PharmCAT	0.2	0	21	0
HG01488	PharmCAT	0.3	0	21	0
HG01489	PharmCAT	0.3	0	21	0
HG01490	PharmCAT	0.3	0	21	0
HG01491	PharmCAT	0.3	0	21	0
HG01492	PharmCAT	0.2	0	21	0
HG01493	PharmCAT	0.3	0	21	0
HG01494	PharmCAT	0.3	0	21	0
HG01495	PharmCAT	0.3	0	21	0
HG01496	PharmCAT	0.3	0	21	0
